,,ç≈ëÂê‚ëŒíl,
óvëfñº,N,SYP,MZP
HçY2-001,0.0000000E+000,0.0000000E+000,0.0000000E+000
HçY2-002,2.6204048E+001,3.9961746E+001,7.1971153E+001
HçY2-003,2.6142975E+001,3.9238056E+001,5.9989395E+001
HçY2-004,2.6094204E+001,3.7301758E+001,4.8223278E+001
HçY2-005,2.6038664E+001,3.4752472E+001,3.7036823E+001
HçY2-006,2.5966909E+001,3.1579672E+001,2.6614174E+001
HçY2-007,2.5871786E+001,2.7792719E+001,1.7142630E+001
HçY2-008,2.5747597E+001,2.3340168E+001,8.8066912E+000
HçY2-009,2.5441729E+001,1.9314848E+001,-3.9787660E+000
HçY2-010,2.5271791E+001,1.5719071E+001,-8.6928654E+000
HçY2-011,2.5085875E+001,1.2546254E+001,-1.2454971E+001
HçY2-012,2.4888742E+001,9.7825899E+000,-1.5387692E+001
HçY2-013,2.4684731E+001,7.4085116E+000,-1.7607798E+001
HçY2-014,2.4447115E+001,5.2433395E+000,-1.9436188E+001
HçY2-015,2.4235844E+001,3.4809504E+000,-2.0476513E+001
HçY2-016,2.4030050E+001,1.4604976E+000,-2.0910547E+001
HçY2-017,2.3985220E+001,-7.8206158E-001,-2.0915239E+001
HçY2-018,2.3790470E+001,-2.4799287E+000,-2.0694122E+001
HçY2-019,2.3602812E+001,-3.7603092E+000,-1.9963066E+001
HçY2-020,2.3421925E+001,-4.6854334E+000,-1.8847345E+001
HçY2-021,2.3247099E+001,-5.3140454E+000,-1.7453575E+001
HçY2-022,2.3079243E+001,-5.6332316E+000,-1.5871247E+001
HçY2-023,2.2966673E+001,-5.8468575E+000,-1.4750904E+001
HçY2-024,2.2803347E+001,-6.1530552E+000,-1.3007563E+001
HçY2-025,2.2642776E+001,-6.2210360E+000,-1.1172024E+001
HçY2-026,2.2484125E+001,-5.9635587E+000,-9.3158045E+000
HçY2-027,2.2326645E+001,-5.4880438E+000,-7.5365925E+000
HçY2-028,2.2169798E+001,-4.8815026E+000,-5.8998470E+000
HçY2-029,2.2013229E+001,-4.2121420E+000,-4.4449191E+000
HçY2-030,2.1856735E+001,-3.5314312E+000,-3.1906912E+000
HçY2-031,2.1700211E+001,-2.8763950E+000,-2.1406007E+000
HçY2-032,2.1543617E+001,-2.2719486E+000,-1.2869714E+000
HçY2-033,2.1386953E+001,-1.7331519E+000,-6.1464733E-001
HçY2-034,2.1073523E+001,-1.2672921E+000,2.6683545E-001
HçY2-035,2.0916769E+001,-8.7574244E-001,5.2031088E-001
HçY2-036,2.0759998E+001,-5.5557144E-001,6.7772704E-001
HçY2-037,2.0603224E+001,-3.0089802E-001,7.5872755E-001
HçY2-038,2.0446457E+001,-1.0400052E-001,7.8064185E-001
HçY2-039,2.0446411E+001,1.0648399E-001,7.8074002E-001
HçY2-040,2.0289665E+001,2.4490705E-001,7.5827676E-001
HçY2-041,2.0132931E+001,3.3992094E-001,6.9426870E-001
HçY2-042,1.9976208E+001,3.7954181E-001,6.0174030E-001
HçY2-043,1.9819492E+001,3.8010785E-001,4.9731186E-001
HçY2-044,1.9662779E+001,3.5516813E-001,3.9270231E-001
HçY2-045,1.9506069E+001,3.1546137E-001,2.9556593E-001
HçY2-046,1.9349358E+001,2.6910591E-001,2.1033505E-001
HçY2-047,1.9192648E+001,2.2191337E-001,1.3900623E-001
HçY2-048,1.9035938E+001,1.7775904E-001,8.1832208E-002
HçY2-049,1.8879229E+001,1.3896173E-001,3.7902772E-002
HçY2-050,1.8565807E+001,1.0664063E-001,-1.6977800E-002
HçY2-051,1.8409098E+001,8.1030026E-002,-3.1889383E-002
HçY2-052,1.8252388E+001,6.1742384E-002,-4.1014291E-002
HçY2-053,1.8095676E+001,4.7977451E-002,-4.6009053E-002
HçY2-054,1.7938967E+001,3.8680431E-002,-4.8213873E-002
HçY2-055,1.7782255E+001,3.2655429E-002,-4.8610289E-002
HçY2-056,1.7782255E+001,-3.4041479E-002,-4.8611779E-002
HçY2-057,1.7625546E+001,-3.7314940E-002,-4.7802560E-002
HçY2-058,1.7468836E+001,-4.1100994E-002,-4.6010464E-002
HçY2-059,1.7312124E+001,-4.6602208E-002,-4.3081786E-002
HçY2-060,1.7155415E+001,-5.4939456E-002,-3.8502071E-002
HçY2-061,1.6998703E+001,-6.7105673E-002,-3.1420637E-002
HçY2-062,1.6841993E+001,-8.3896644E-002,-2.0688955E-002
HçY2-063,1.6685284E+001,-6.3510746E-002,-4.9198014E-003
HçY2-064,1.6371862E+001,-4.5746479E-002,9.0548918E-003
HçY2-065,1.6371862E+001,3.2155946E-002,9.0575414E-003
HçY2-066,1.6215151E+001,4.4963948E-002,8.8158725E-003
HçY2-067,1.6058441E+001,4.5051571E-002,4.7319056E-003
HçY1-001,0.0000000E+000,0.0000000E+000,0.0000000E+000
HçY1-002,-1.2679700E+001,-5.0332542E+001,8.4206795E+001
HçY1-003,-1.2702225E+001,-4.8911877E+001,6.9117683E+001
HçY1-004,-1.2721457E+001,-4.5048759E+001,5.4455662E+001
HçY1-005,-1.2762033E+001,-3.9365185E+001,4.0953289E+001
HçY1-006,-1.2831357E+001,-3.4014652E+001,2.9156521E+001
