Engineer's Studio Result
*,Node,Name,ëOÊ‰-005
*,,LoadSet,Transration,Step,DX,DY,DZ,RX,RY,RZ,RelAccX,RelAccY,RelAccZ,AbsAccX,AbsAccY,AbsAccZ,VX,VY,VZ
,,,,1,2.2240805E+000,-5.7064189E-002,-2.8169775E-018,1.3720395E-002,-5.3738656E-006,9.0635410E-020,---,---,---,---,---,---,---,---,---
,,,,2,4.4487089E+000,-1.1450338E-001,-2.4437905E-018,1.3622964E-002,-1.0743050E-005,1.5669750E-019,---,---,---,---,---,---,---,---,---
,,,,3,6.9422424E+000,-1.7987555E-001,2.1053300E-018,2.4703912E-002,-2.2753699E-005,3.3482827E-019,---,---,---,---,---,---,---,---,---
,,,,4,9.4391480E+000,-2.4522915E-001,1.2499055E-017,2.4079008E-002,-3.0136522E-005,5.0235107E-019,---,---,---,---,---,---,---,---,---
,,,,5,1.2158888E+001,-3.1717620E-001,3.1248174E-017,3.5523143E-002,-4.7762543E-005,9.2051682E-019,---,---,---,---,---,---,---,---,---
,,,,6,1.4840376E+001,-3.8860630E-001,6.2747824E-017,3.3390558E-002,-5.5713121E-005,1.3511138E-018,---,---,---,---,---,---,---,---,---
,,,,7,1.7795498E+001,-4.6861632E-001,1.1417466E-016,5.1504448E-002,-8.5472812E-005,2.6037570E-018,---,---,---,---,---,---,---,---,---
,,,,8,2.1043902E+001,-5.5354607E-001,1.9967846E-016,5.9743085E-002,-1.0866337E-004,4.4851959E-018,---,---,---,---,---,---,---,---,---
,,,,9,2.4368578E+001,-6.4180926E-001,3.4392951E-016,6.8271838E-002,-1.3495020E-004,7.9083221E-018,---,---,---,---,---,---,---,---,---
,,,,10,2.7918284E+001,-7.3832084E-001,5.9349810E-016,9.1044455E-002,-1.8402035E-004,1.5728596E-017,---,---,---,---,---,---,---,---,---
*,,,,Max Value,2.7918284E+001,-5.7064189E-002,-2.8169775E-018,9.1044455E-002,-5.3738656E-006,9.0635410E-020,---,---,---,---,---,---,---,---,---
*,,,,Max Step,10,1,1,10,1,1,---,---,---,---,---,---,---,---,---
*,,,,Min Value,2.2240805E+000,-7.3832084E-001,-2.8169775E-018,1.3622964E-002,-1.8402035E-004,9.0635410E-020,---,---,---,---,---,---,---,---,---
*,,,,Min Step,1,10,1,2,10,1,---,---,---,---,---,---,---,---,---
*,,,Rotation,Step,SX,SY,SZ,RMX,RMY,RMZ,RelAccRX,RelAccRY,RelAccRZ,AbsAccRX,AbsAccRY,AbsAccRZ,VRX,VRY,VRZ
,,,,1,6.5314162E-019,8.3337341E-018,-3.8786877E-002,1.5869874E-022,1.8357969E-020,-1.1150169E-007,---,---,---,---,---,---,---,---,---
,,,,2,1.7916104E-018,1.7936061E-017,-7.7451674E-002,6.8252232E-022,3.1924222E-020,-2.1544164E-007,---,---,---,---,---,---,---,---,---
,,,,3,3.5988425E-018,2.9508222E-017,-1.2946936E-001,1.6870347E-021,6.8147733E-020,-4.3811863E-007,---,---,---,---,---,---,---,---,---
,,,,4,6.3513077E-018,4.3925727E-017,-1.8084275E-001,3.3494513E-021,1.0249667E-019,-5.7109735E-007,---,---,---,---,---,---,---,---,---
